"month","year","site_code","monthly_average_NO3_N"
1,2021,"BIGC",0.02101005
1,2021,"BLDE",0.206094188899985
1,2021,"CUPE",0.341940273221679
1,2021,"FLNT",0.735899162287009
1,2021,"HOPB",0.0863050333660714
1,2021,"LECO",0.207101898975
1,2021,"LEWI",3.1558648733123
1,2021,"MAYF",0.0131234630601639
1,2021,"MCDI",0.184259998734183
1,2021,"POSE",0.774598599289773
1,2021,"REDB",0.0728908668
1,2021,"WALK",0.0430837472285426
1,2021,"WLOU",0.0517296357880435
1,2022,"ARIK",0.0685006314967836
1,2022,"BIGC",0.0467385189719467
1,2022,"BLDE",0.148024462306452
1,2022,"BLUE",0.576645602743914
1,2022,"BLWA",0.559239423856911
1,2022,"COMO",0.105494693365385
1,2022,"CUPE",0.332213634125
1,2022,"FLNT",0.673262530123817
1,2022,"HOPB",0.0912236540344474
1,2022,"KING",0.0418531378589126
1,2022,"LECO",0.157279432994739
1,2022,"LEWI",2.56297068908341
1,2022,"MART",0.000271493503246753
1,2022,"MAYF",0.017638185012218
1,2022,"MCDI",0.133929149809665
1,2022,"MCRA",0.00418570318014706
1,2022,"POSE",0.406877200119371
1,2022,"PRIN",0.344966815041035
1,2022,"REDB",0.0287837654621096
1,2022,"WALK",0.0164220436329134
1,2022,"WLOU",0.0566716386079944
2,2021,"ARIK",0.0672952404132775
2,2021,"BIGC",0.0461574957589286
2,2021,"BLDE",0.197186249648438
2,2021,"CUPE",0.320556603048233
2,2021,"FLNT",0.725247175136367
2,2021,"HOPB",0.105353907822063
2,2021,"LECO",0.227635631533831
2,2021,"LEWI",2.96950778829276
2,2021,"MAYF",0.00992925167188413
2,2021,"MCDI",0.224794187013261
2,2021,"MCRA",0.0225431956494361
2,2021,"POSE",0.714612093615451
2,2021,"PRIN",0.342070021551185
2,2021,"REDB",0.0704557988503378
2,2021,"TECR",0.0248991788541667
2,2021,"WALK",0.0419057792712256
2,2021,"WLOU",0.0462569998777174
2,2022,"ARIK",0.0626313213523014
2,2022,"BIGC",0.0299925038041008
2,2022,"BLDE",0.147720661071429
2,2022,"BLUE",0.54074852950934
2,2022,"BLWA",0.541232719513356
2,2022,"COMO",0.104479560348214
2,2022,"CUPE",0.429055543196703
2,2022,"FLNT",0.9503983659375
2,2022,"GUIL",0.435918557013107
2,2022,"HOPB",0.0915335720989525
2,2022,"KING",0.028262309321558
2,2022,"LECO",0.230481025856815
2,2022,"LEWI",2.61023018935112
2,2022,"MART",0.000534874265289969
2,2022,"MAYF",0.0203336822598796
2,2022,"MCDI",0.134281526759254
2,2022,"MCRA",0.03921876
2,2022,"POSE",0.487021565082304
2,2022,"PRIN",0.339319919836957
2,2022,"REDB",0.0301428160023847
2,2022,"SYCA",0.360085524273483
2,2022,"TECR",0.019385661875
2,2022,"TOMB",0.327056445
2,2022,"WALK",0.00792878324453113
2,2022,"WLOU",0.0571863824553571
3,2021,"ARIK",0.139435230055645
3,2021,"BIGC",0.0377725644458256
3,2021,"BLDE",0.18027516502065
3,2021,"BLUE",0.48797996926491
3,2021,"COMO",0.1468806759375
3,2021,"CUPE",0.325540378892045
3,2021,"FLNT",0.877939763963852
3,2021,"HOPB",0.0940669115770349
3,2021,"LECO",0.197258209369043
3,2021,"LEWI",2.67973339289063
3,2021,"MAYF",0.0161417185228611
3,2021,"MCDI",0.455864795527527
3,2021,"PRIN",0.211322535214984
3,2021,"REDB",0.0663061961464979
3,2021,"TECR",0.0242819644223485
3,2021,"WALK",0.0378546333715893
3,2021,"WLOU",0.0437133742379879
3,2022,"ARIK",0.0713529131826923
3,2022,"BIGC",0.0402394479521086
3,2022,"BLDE",0.135847961518568
3,2022,"BLUE",0.501721394085562
3,2022,"BLWA",0.452864208420878
3,2022,"COMO",0.10865903115767
3,2022,"CUPE",0.313479972163462
3,2022,"FLNT",0.923232530454546
3,2022,"GUIL",0.361274663459694
3,2022,"HOPB",0.0690259478687094
3,2022,"KING",0.0451165578669819
3,2022,"LECO",0.197596445941318
3,2022,"LEWI",2.42306877374112
3,2022,"MART",0.000708116499999995
3,2022,"MAYF",0.014002976807717
3,2022,"MCDI",0.493194497104229
3,2022,"MCRA",0.0130665242465753
3,2022,"POSE",0.32104088477655
3,2022,"PRIN",0.236568027490898
3,2022,"REDB",0.0886724348294186
3,2022,"SYCA",0.154085118505435
3,2022,"TECR",0.0224892858464912
3,2022,"TOMB",0.303435117713416
3,2022,"WALK",0.0314825838220224
3,2022,"WLOU",0.058233812939562
4,2021,"ARIK",0.098382914896875
4,2021,"BIGC",0.0176816860088476
4,2021,"BLDE",0.128716466390625
4,2021,"BLUE",0.474015440890646
4,2021,"BLWA",0.370915626465226
4,2021,"COMO",0.103594590881722
4,2021,"CUPE",0.3275632151875
4,2021,"FLNT",0.903561163252378
4,2021,"HOPB",0.0638023766168478
4,2021,"KING",0.264954210915157
4,2021,"LECO",0.206101290857666
4,2021,"LEWI",2.54031535514434
4,2021,"MART",9.28474431818182e-05
4,2021,"MAYF",0.0169140864035702
4,2021,"MCDI",0.279465991651578
4,2021,"POSE",0.4411789513125
4,2021,"PRIN",0.158616898424225
4,2021,"REDB",0.0614486346184683
4,2021,"TECR",0.0266101351781631
4,2021,"TOMB",0.270371734139423
4,2021,"WALK",0.0367341059782398
4,2021,"WLOU",0.040061341093865
4,2022,"ARIK",0.0720250489906756
4,2022,"BIGC",0.0291878394747673
4,2022,"BLDE",0.0504485408273333
4,2022,"BLUE",0.470781254155868
4,2022,"BLWA",0.355924183038977
4,2022,"COMO",0.144035043917411
4,2022,"CUPE",0.310262617241285
4,2022,"FLNT",0.837903507567567
4,2022,"GUIL",0.300020515703323
4,2022,"HOPB",0.0540364385070184
4,2022,"KING",0.0855567271242446
4,2022,"LECO",0.18454090105364
4,2022,"LEWI",2.35367611434728
4,2022,"MART",0.022178201579586
4,2022,"MAYF",0.0144785335529093
4,2022,"MCDI",0.22288890890625
4,2022,"POSE",0.263355696138278
4,2022,"PRIN",0.252325507248063
4,2022,"REDB",0.0774170311338356
4,2022,"SYCA",0.0307590646576658
4,2022,"TECR",0.032391709609375
4,2022,"TOMB",0.226265135562558
4,2022,"WALK",0.0478598444511456
4,2022,"WLOU",0.0558391155255682
5,2021,"ARIK",0.115344437819951
5,2021,"BIGC",0.0269416690561342
5,2021,"BLDE",0.139097407414773
5,2021,"BLUE",0.423251242844595
5,2021,"BLWA",0.291752084650287
5,2021,"CARI",0.433703293743135
5,2021,"COMO",0.114422788839286
5,2021,"CUPE",0.35169761619185
5,2021,"FLNT",0.962902946337719
5,2021,"HOPB",0.0439138144861111
5,2021,"KING",0.229446677682806
5,2021,"LECO",0.220150418458488
5,2021,"LEWI",2.41555260619831
5,2021,"MART",0.01086832378125
5,2021,"MAYF",0.0207738258928571
5,2021,"MCDI",0.706943890773478
5,2021,"POSE",0.382442363170161
5,2021,"PRIN",0.329391607534634
5,2021,"REDB",0.0630002664435572
5,2021,"TECR",0.0171725187308136
5,2021,"TOMB",0.4831480451327
5,2021,"WALK",0.0297247024818577
5,2021,"WLOU",0.0424796603727105
5,2022,"ARIK",0.107592475823415
5,2022,"BIGC",0.0209372029290096
5,2022,"BLDE",0.0894234417
5,2022,"BLUE",0.523015633126581
5,2022,"BLWA",0.205530331927147
5,2022,"CARI",0.357912513789205
5,2022,"COMO",0.122061755254448
5,2022,"CUPE",0.323106922382725
5,2022,"GUIL",0.283635675
5,2022,"HOPB",0.0382247803925179
5,2022,"KING",0.0865609301313462
5,2022,"LECO",0.208549947698864
5,2022,"LEWI",2.37546533827125
5,2022,"MART",0.0168296559320673
5,2022,"MAYF",0.0164473424955173
5,2022,"MCDI",0.349255952857143
5,2022,"POSE",0.286302706317742
5,2022,"PRIN",0.231875054887816
5,2022,"REDB",0.0660733671943965
5,2022,"SYCA",0.0225853787517165
5,2022,"TECR",0.0330941483047872
5,2022,"TOMB",0.251803914635654
5,2022,"WALK",0.0841568149924342
5,2022,"WLOU",0.0520436446875
6,2021,"ARIK",0.0777934904297495
6,2021,"BIGC",0.0438982630813512
6,2021,"BLDE",0.0754891276766409
6,2021,"BLUE",0.400413409754464
6,2021,"BLWA",0.268010204613613
6,2021,"CARI",0.39264719484375
6,2021,"COMO",0.0586614801004055
6,2021,"CUPE",0.343006919802685
6,2021,"FLNT",0.8318024698125
6,2021,"GUIL",0.258423615
6,2021,"HOPB",0.0934052182208425
6,2021,"KING",0.100301486757018
6,2021,"LECO",0.206643881747626
6,2021,"LEWI",2.54210755113068
6,2021,"MART",0.0223089124224205
6,2021,"MAYF",0.0188185850625
6,2021,"MCDI",1.36227232241379
6,2021,"OKSR",0.0550280547138158
6,2021,"POSE",0.362128313958333
6,2021,"PRIN",0.284068173549107
6,2021,"TECR",0.0178439521875
6,2021,"TOMB",0.303901466074392
6,2021,"WALK",0.0533582785281768
6,2021,"WLOU",0.033170586862922
6,2022,"ARIK",0.0802784168129638
6,2022,"BIGC",0.0260139086079114
6,2022,"BLDE",0.0600098499269323
6,2022,"BLUE",0.448598983883074
6,2022,"BLWA",0.220732822138678
6,2022,"CARI",0.405939632727273
6,2022,"COMO",0.0490553873199885
6,2022,"CUPE",0.307636149233903
6,2022,"HOPB",0.10790691201139
6,2022,"KING",0.0586180858184524
6,2022,"LECO",0.181952756694728
6,2022,"LEWI",2.77873516665557
6,2022,"MART",0.0112577938800753
6,2022,"MAYF",0.0271183183198925
6,2022,"MCDI",0.506898078700179
6,2022,"POSE",0.368378325397286
6,2022,"PRIN",0.11023223372705
6,2022,"REDB",0.0545676906265905
6,2022,"SYCA",0.0306181309018016
6,2022,"TECR",0.0294216591002747
6,2022,"TOMB",0.384464369285888
6,2022,"WALK",0.0724592132885368
6,2022,"WLOU",0.0489885472901277
7,2021,"ARIK",0.0788756628047119
7,2021,"BIGC",0.0262925143433906
7,2021,"BLDE",0.0294600259413808
7,2021,"BLUE",0.5314968764375
7,2021,"BLWA",0.344055386601365
7,2021,"CARI",0.352204553011148
7,2021,"COMO",0.0493588344840743
7,2021,"CUPE",0.307567398861037
7,2021,"FLNT",0.871829533125
7,2021,"HOPB",0.0633303264819079
7,2021,"KING",0.149076598135302
7,2021,"LECO",0.192383523817677
7,2021,"LEWI",2.54183788184536
7,2021,"MART",0.0339761061956003
7,2021,"MAYF",0.027313065
7,2021,"OKSR",0.135304450577015
7,2021,"POSE",0.33253510734375
7,2021,"PRIN",0.0802530238011266
7,2021,"REDB",0.11497558840738
7,2021,"TECR",0.0356289385789657
7,2021,"TOMB",0.31376415458931
7,2021,"WALK",0.0688377826509503
7,2021,"WLOU",0.0194031925833231
7,2022,"ARIK",0.13085613571875
7,2022,"BIGC",0.0372585951297342
7,2022,"BLUE",0.4332593296875
7,2022,"BLWA",0.134637302481607
7,2022,"CARI",0.334031154756944
7,2022,"COMO",0.041433996170224
7,2022,"CUPE",0.298777504732677
7,2022,"GUIL",0.303211881236842
7,2022,"HOPB",0.133222447898887
7,2022,"KING",0.0749847272514692
7,2022,"LECO",0.229067230772569
7,2022,"LEWI",2.65462473766154
7,2022,"MART",0.00807522520231427
7,2022,"MAYF",0.0293435366530187
7,2022,"MCDI",0.61399573674357
7,2022,"MCRA",0.0110027437001661
7,2022,"OKSR",0.0765050912711285
7,2022,"POSE",0.299111959300545
7,2022,"PRIN",0.115265334465248
7,2022,"REDB",0.0636004391334034
7,2022,"SYCA",0.0406231903596568
7,2022,"TECR",0.021590270135707
7,2022,"TOMB",0.107396978600649
7,2022,"WALK",0.0754293102120536
7,2022,"WLOU",0.0234859592611002
8,2021,"BIGC",0.0191956215982473
8,2021,"BLDE",0.0479919440525852
8,2021,"BLUE",0.461046373133301
8,2021,"BLWA",0.36383148287234
8,2021,"CARI",0.445518696166394
8,2021,"COMO",0.0503933168039835
8,2021,"CUPE",0.315688520033227
8,2021,"FLNT",0.79217372203125
8,2021,"HOPB",0.0809888889585567
8,2021,"KING",0.122251609470955
8,2021,"LECO",0.172224463741112
8,2021,"LEWI",2.38118975892928
8,2021,"MART",0.0130880626510372
8,2021,"MAYF",0.0693367281078947
8,2021,"OKSR",0.105544168704304
8,2021,"PRIN",0.167792927266483
8,2021,"REDB",0.114247434769825
8,2021,"SYCA",0.52945326
8,2021,"TECR",0.0352444073221643
8,2021,"TOMB",0.252147429948949
8,2021,"WALK",0.0916764584975251
8,2022,"BIGC",0.0412100846348229
8,2022,"BLDE",0.034744786575
8,2022,"BLWA",0.143504199369887
8,2022,"CARI",0.330835501736506
8,2022,"COMO",0.0439915488623736
8,2022,"CUPE",0.332982927913725
8,2022,"GUIL",0.334903851760848
8,2022,"KING",0.0872931067067064
8,2022,"LECO",0.139122272658158
