"season","year","site_code","var","season_avg"
"Fall",2021,"ARIK","DO",6.46706423611111
"Fall",2021,"ARIK","DO_sat",60.9014861111111
"Fall",2021,"ARIK","PAR",212.637291666667
"Fall",2021,"ARIK","pH",7.70627083333306
"Fall",2021,"ARIK","spCond",617.116997685185
"Fall",2021,"BIGC","DO",7.87988715277779
"Fall",2021,"BIGC","DO_sat",85.9037847222223
"Fall",2021,"BIGC","PAR",51.5209583333333
"Fall",2021,"BIGC","pH",7.32806163194446
"Fall",2021,"BIGC","spCond",286.440311507937
"Fall",2021,"BLDE","DO",10.7207992424242
"Fall",2021,"BLDE","DO_sat",100.759561631944
"Fall",2021,"BLDE","PAR",148.954486111111
"Fall",2021,"BLDE","pH",7.86960503472221
"Fall",2021,"BLDE","spCond",116.016704861111
"Fall",2021,"BLUE","DO",9.00103472222221
"Fall",2021,"BLUE","DO_sat",98.4735815972222
"Fall",2021,"BLUE","PAR",353.471597222222
"Fall",2021,"BLUE","pH",8.11498611111112
"Fall",2021,"BLUE","spCond",565.639953472222
"Fall",2021,"BLWA","PAR",286.399895833333
"Fall",2021,"CARI","DO",13.0429275793651
"Fall",2021,"CARI","pH",7.59807870370375
"Fall",2021,"CARI","spCond",80.3701898148148
"Fall",2021,"COMO","DO",9.78808333333336
"Fall",2021,"COMO","DO_sat",97.6176691919191
"Fall",2021,"COMO","PAR",23.2671153846154
"Fall",2021,"COMO","pH",7.3047361111111
"Fall",2021,"COMO","spCond",33.2306923076923
"Fall",2021,"CUPE","DO",8.04035243055556
"Fall",2021,"CUPE","DO_sat",95.9205572916666
"Fall",2021,"CUPE","PAR",31.2059895833333
"Fall",2021,"CUPE","pH",8.18282638888887
"Fall",2021,"CUPE","spCond",281.958200520833
"Fall",2021,"FLNT","DO_sat",92.1597222222222
"Fall",2021,"FLNT","PAR",353.77075
"Fall",2021,"FLNT","pH",7.68472222222222
"Fall",2021,"GUIL","PAR",168.411458333333
"Fall",2021,"GUIL","pH",7.83009027777778
"Fall",2021,"HOPB","DO",10.6646623931624
"Fall",2021,"HOPB","DO_sat",98.1907746212121
"Fall",2021,"HOPB","PAR",20.8434722222222
"Fall",2021,"HOPB","pH",7.04591145833332
"Fall",2021,"HOPB","spCond",86.0338213383838
"Fall",2021,"KING","DO",6.00836047979798
"Fall",2021,"KING","DO_sat",53.9959135802469
"Fall",2021,"KING","pH",7.35696469907405
"Fall",2021,"KING","spCond",657.309243686869
"Fall",2021,"LECO","DO",9.9284494047619
"Fall",2021,"LECO","DO_sat",100.194345833333
"Fall",2021,"LECO","PAR",25.0269722222222
"Fall",2021,"LECO","pH",6.79681558641974
"Fall",2021,"LECO","spCond",18.6660572916667
"Fall",2021,"LEWI","DO",9.23812905092591
"Fall",2021,"LEWI","DO_sat",88.6400618055555
"Fall",2021,"LEWI","pH",7.87557947530867
"Fall",2021,"LEWI","spCond",617.899204594017
"Fall",2021,"MART","DO",10.5377575231482
"Fall",2021,"MART","DO_sat",96.8559128086419
"Fall",2021,"MART","pH",7.22463591269842
"Fall",2021,"MART","spCond",40.2282583333333
"Fall",2021,"MAYF","DO",8.52723765432098
"Fall",2021,"MAYF","DO_sat",92.3619146825397
"Fall",2021,"MAYF","PAR",17.0270972222222
"Fall",2021,"MAYF","pH",5.83365277777776
"Fall",2021,"MAYF","spCond",13.7454010416667
"Fall",2021,"MCDI","DO",6.06793650793651
"Fall",2021,"MCDI","DO_sat",62.1576886574074
"Fall",2021,"MCDI","pH",7.40405952380953
"Fall",2021,"MCDI","spCond",599.016726562499
"Fall",2021,"MCRA","DO",11.6089166666667
"Fall",2021,"MCRA","DO_sat",100.038795138889
"Fall",2021,"MCRA","PAR",2.66098958333334
"Fall",2021,"MCRA","pH",7.1979444444443
"Fall",2021,"MCRA","spCond",26.7340208333333
"Fall",2021,"OKSR","DO",10.7543263888889
"Fall",2021,"OKSR","PAR",182.159861111111
"Fall",2021,"OKSR","pH",7.31149305555553
"Fall",2021,"OKSR","spCond",47.5454444444446
"Fall",2021,"POSE","DO",9.46220352564101
"Fall",2021,"POSE","DO_sat",92.0121786616162
"Fall",2021,"POSE","PAR",49.9794230769231
"Fall",2021,"POSE","pH",7.60684325396831
"Fall",2021,"POSE","spCond",124.267253858025
"Fall",2021,"PRIN","DO",8.81057745726495
"Fall",2021,"PRIN","DO_sat",88.5828319444444
"Fall",2021,"PRIN","PAR",23.6421354166667
"Fall",2021,"PRIN","pH",8.10702380952381
"Fall",2021,"PRIN","spCond",608.571190972222
"Fall",2021,"REDB","DO",10.4142474747475
"Fall",2021,"REDB","DO_sat",100.156086805556
"Fall",2021,"REDB","PAR",51.3410897435897
"Fall",2021,"REDB","pH",8.34610416666693
"Fall",2021,"REDB","spCond",729.861374228395
"Fall",2021,"TECR","DO",9.78748533950618
"Fall",2021,"TECR","DO_sat",97.7165162037037
"Fall",2021,"TECR","PAR",34.9143429487179
"Fall",2021,"TECR","pH",7.21053626543209
"Fall",2021,"TECR","spCond",38.1986785714286
"Fall",2021,"TOMB","DO",7.54358506944444
"Fall",2021,"TOMB","DO_sat",89.5764375
"Fall",2021,"WALK","DO",9.60590277777777
"Fall",2021,"WALK","DO_sat",95.6190355902778
"Fall",2021,"WALK","PAR",31.5132371794872
