"season","year","site_code","season_avg"
"Fall",2021,"BIGC",1.2869375
"Fall",2021,"BLDE",2.41691891891892
"Fall",2021,"BLUE",1.00365
"Fall",2021,"BLWA",3.05228571428571
"Fall",2021,"CARI",4.34875
"Fall",2021,"COMO",1.8425
"Fall",2021,"CUPE",1.37664046716667
"Fall",2021,"GUIL",1.55439264705882
"Fall",2021,"HOPB",3.64466666666667
"Fall",2021,"KING",1.6545
"Fall",2021,"LECO",1.05743020833333
"Fall",2021,"LEWI",1.39288157894737
"Fall",2021,"MART",1.27396805555556
"Fall",2021,"MAYF",2.84152631578947
"Fall",2021,"MCDI",1.538
"Fall",2021,"MCRA",0.871645833333333
"Fall",2021,"OKSR",3.98406810897917
"Fall",2021,"POSE",2.09159459459459
"Fall",2021,"PRIN",2.92844
"Fall",2021,"REDB",1.414
"Fall",2021,"SYCA",2.289
"Fall",2021,"TOMB",4.8455
"Fall",2021,"WALK",0.819537894736842
"Fall",2021,"WLOU",1.28976315789474
"Fall",2022,"BIGC",1.6465
"Fall",2022,"BLUE",1.02091578947368
"Fall",2022,"BLWA",2.29933333330769
"Fall",2022,"CARI",3.78387837837838
"Fall",2022,"CUPE",1.18801156015789
"Fall",2022,"GUIL",1.21235408163265
"Fall",2022,"HOPB",3.90428021976923
"Fall",2022,"LECO",0.764109714285714
"Fall",2022,"LEWI",1.03875483870968
"Fall",2022,"MART",0.823788205133333
"Fall",2022,"MAYF",2.13066666666667
"Fall",2022,"MCDI",1.82034000004
"Fall",2022,"MCRA",1.62225
"Fall",2022,"OKSR",4.21894984802128
"Fall",2022,"POSE",1.851325
"Fall",2022,"PRIN",2.98002222226667
"Fall",2022,"REDB",1.30616666666667
"Fall",2022,"SYCA",3.819066667
"Fall",2022,"TECR",2.712
"Fall",2022,"TOMB",4.221
"Fall",2022,"WALK",0.752083333363636
"Fall",2022,"WLOU",1.0984
"Spring",2021,"ARIK",6.04859193122222
"Spring",2021,"BIGC",1.78354945054286
"Spring",2021,"BLDE",4.1004888889
"Spring",2021,"BLUE",2.44811538461538
"Spring",2021,"BLWA",3.13894583333333
"Spring",2021,"CARI",8.213362499925
"Spring",2021,"COMO",8.45713157894737
"Spring",2021,"CUPE",1.14345526321053
"Spring",2021,"GUIL",1.13450434782609
"Spring",2021,"HOPB",2.28425994371951
"Spring",2021,"KING",1.41578301886792
"Spring",2021,"LECO",1.94912185848611
"Spring",2021,"LEWI",1.17499889162069
"Spring",2021,"MART",0.803657575742424
"Spring",2021,"MAYF",2.40819102564615
"Spring",2021,"MCDI",2.48737471655556
"Spring",2021,"MCRA",0.7422
"Spring",2021,"OKSR",9.7955
"Spring",2021,"POSE",1.44666130951786
"Spring",2021,"PRIN",4.575375
"Spring",2021,"REDB",1.35797348484848
"Spring",2021,"TECR",2.0368621795
"Spring",2021,"TOMB",4.52343197277551
"Spring",2021,"WALK",1.71434360465116
"Spring",2021,"WLOU",2.43927777777778
"Spring",2022,"ARIK",6.34291975307407
"Spring",2022,"BIGC",1.93996621621622
"Spring",2022,"BLDE",4.52697660819298
"Spring",2022,"BLUE",1.16558901515909
"Spring",2022,"BLWA",2.80372443181818
"Spring",2022,"CARI",10.5141973685263
"Spring",2022,"COMO",7.85906015052632
"Spring",2022,"CUPE",1.332504166625
"Spring",2022,"GUIL",1.1625
"Spring",2022,"HOPB",2.65233536585366
"Spring",2022,"KING",1.5188488372093
"Spring",2022,"LECO",1.39765892858333
"Spring",2022,"LEWI",1.26127912282456
"Spring",2022,"MART",0.936047364638889
"Spring",2022,"MAYF",2.03593333333333
"Spring",2022,"MCDI",3.01753787878788
"Spring",2022,"MCRA",0.876115986408163
"Spring",2022,"OKSR",8.419428571
"Spring",2022,"POSE",2.07465131580263
"Spring",2022,"PRIN",5.5995
"Spring",2022,"REDB",2.77589285714286
"Spring",2022,"SYCA",2.43448333333333
"Spring",2022,"TECR",2.666546875
"Spring",2022,"TOMB",4.27131967213115
"Spring",2022,"WALK",0.779476075258065
"Spring",2022,"WLOU",3.39631578947368
"Summer",2021,"ARIK",8.85953881278082
"Summer",2021,"BIGC",1.38479783655
"Summer",2021,"BLDE",2.94604901958824
"Summer",2021,"BLUE",1.16374
"Summer",2021,"BLWA",3.129
"Summer",2021,"CARI",3.74371646336585
"Summer",2021,"COMO",4.36608333333333
"Summer",2021,"CUPE",1.16082548076923
"Summer",2021,"GUIL",1.231892
"Summer",2021,"HOPB",5.8782875
"Summer",2021,"KING",1.01607727272727
"Summer",2021,"LECO",1.01844534883721
"Summer",2021,"LEWI",1.36874074074074
"Summer",2021,"MART",0.99565
"Summer",2021,"MAYF",2.601
"Summer",2021,"MCDI",2.24593181818182
"Summer",2021,"MCRA",0.63363
"Summer",2021,"OKSR",4.82348393378481
"Summer",2021,"POSE",2.34710526315789
"Summer",2021,"PRIN",10.0715
"Summer",2021,"REDB",1.25498563218966
"Summer",2021,"TECR",1.99138181818182
"Summer",2021,"TOMB",4.7205
"Summer",2021,"WALK",1.32248
"Summer",2021,"WLOU",2.00389285714286
"Summer",2022,"ARIK",6.987921875
"Summer",2022,"BIGC",1.81926576583784
"Summer",2022,"BLDE",6.9925
"Summer",2022,"BLUE",0.954171052631579
"Summer",2022,"BLWA",2.4315
"Summer",2022,"CARI",3.14826219512195
"Summer",2022,"COMO",4.29534503632203
"Summer",2022,"CUPE",0.957152274313433
"Summer",2022,"GUIL",1.33998285714286
"Summer",2022,"HOPB",4.155
"Summer",2022,"KING",1.5629575
"Summer",2022,"LECO",1.1331380952381
"Summer",2022,"LEWI",1.16161904761905
"Summer",2022,"MAYF",2.42765384615385
"Summer",2022,"MCDI",3.58386036037838
"Summer",2022,"MCRA",0.6530333332
"Summer",2022,"OKSR",5.17142314646835
"Summer",2022,"POSE",1.9675
"Summer",2022,"PRIN",2.65
"Summer",2022,"REDB",1.46138461538462
"Summer",2022,"SYCA",1.9705
"Summer",2022,"TECR",2.13246759261111
"Summer",2022,"TOMB",4.06368181818182
"Summer",2022,"WALK",0.7636
"Summer",2022,"WLOU",2.45455970149254
"Winter",2021,"ARIK",3.79724714286
"Winter",2021,"BIGC",3.01
"Winter",2021,"BLUE",1.01005
"Winter",2021,"BLWA",2.82318103448276
"Winter",2021,"CUPE",1.22866666671429
"Winter",2021,"GUIL",1.07179545454545
"Winter",2021,"HOPB",2.1224960212069
"Winter",2021,"LECO",1.51958809523333
"Winter",2021,"LEWI",1.01561559767347
