"month","year","site_code","var","monthly_avg"
1,2021,"ARIK","DO",10.5148194444444
1,2021,"ARIK","PAR",121.268666666667
1,2021,"ARIK","pH",8.03215833333339
1,2021,"ARIK","spCond",529.550180555555
1,2021,"BIGC","DO",10.9295930555556
1,2021,"BIGC","PAR",31.71046875
1,2021,"BIGC","pH",7.29526736111108
1,2021,"BIGC","spCond",212.370956018518
1,2021,"BLDE","PAR",75.0927777777778
1,2021,"COMO","PAR",14.4662916666667
1,2021,"CUPE","DO",8.47375868055548
1,2021,"CUPE","PAR",26.2482291666666
1,2021,"CUPE","pH",8.19548842592588
1,2021,"CUPE","spCond",304.344807870371
1,2021,"FLNT","PAR",308.528229166667
1,2021,"GUIL","DO",8.2839375
1,2021,"GUIL","PAR",55.69125
1,2021,"GUIL","pH",8.01345833333333
1,2021,"GUIL","spCond",233.138534722222
1,2021,"HOPB","DO",13.9561111111111
1,2021,"HOPB","PAR",26.8943333333333
1,2021,"HOPB","spCond",83.7874513888889
1,2021,"LECO","DO",11.3595451388889
1,2021,"LECO","PAR",25.9227083333333
1,2021,"LECO","pH",6.6245578703704
1,2021,"LECO","spCond",16.3872777777777
1,2021,"LEWI","DO",11.1634097222222
1,2021,"LEWI","PAR",75.0358333333335
1,2021,"LEWI","pH",7.9839583333332
1,2021,"LEWI","spCond",616.163388888889
1,2021,"MART","pH",7.05726388888889
1,2021,"MART","spCond",36.1663090277778
1,2021,"MAYF","DO",10.7793805555556
1,2021,"MAYF","PAR",15.6515416666667
1,2021,"MAYF","pH",5.82014722222221
1,2021,"MAYF","spCond",11.5461388888888
1,2021,"MCDI","DO",11.3362065972222
1,2021,"MCDI","PAR",121.0765625
1,2021,"MCDI","pH",7.6495954861111
1,2021,"MCDI","spCond",590.625983796296
1,2021,"MCRA","DO",11.7910208333333
1,2021,"MCRA","pH",7.1514305555556
1,2021,"MCRA","spCond",21.2967569444444
1,2021,"POSE","DO",12.8489444444445
1,2021,"POSE","PAR",60.1710416666667
1,2021,"POSE","pH",7.67057986111104
1,2021,"POSE","spCond",111.844902777777
1,2021,"PRIN","DO",11.9599913194445
1,2021,"PRIN","PAR",67.1694166666667
1,2021,"PRIN","pH",8.16582500000001
1,2021,"PRIN","spCond",785.520191666667
1,2021,"REDB","PAR",30.3710416666666
1,2021,"REDB","spCond",647.659336805556
1,2021,"SYCA","PAR",182.272291666667
1,2021,"TECR","DO",11.7875708333334
1,2021,"TECR","spCond",35.3600243055556
1,2021,"WALK","DO",11.4700986111111
1,2021,"WALK","PAR",41.342
1,2021,"WALK","pH",8.03161805555562
1,2021,"WALK","spCond",208.623009259259
1,2021,"WLOU","DO",10.543224537037
1,2021,"WLOU","PAR",4.77192708333333
1,2021,"WLOU","spCond",113.337847222222
1,2022,"ARIK","DO",8.41459999999999
1,2022,"ARIK","DO_sat",72.6523923611111
1,2022,"ARIK","PAR",138.798888888889
1,2022,"ARIK","pH",8.03250694444443
1,2022,"ARIK","spCond",557.009090277778
1,2022,"BIGC","PAR",61.6302604166667
1,2022,"BIGC","pH",7.22515277777783
1,2022,"BIGC","spCond",180.128541666667
1,2022,"BLDE","DO",11.7838458333333
1,2022,"BLDE","DO_sat",99.2719496527777
1,2022,"BLDE","PAR",76.390375
1,2022,"BLDE","pH",7.7606250000001
1,2022,"BLDE","spCond",117.739337962963
1,2022,"BLUE","DO",10.8018402777778
1,2022,"BLUE","DO_sat",95.2920208333333
1,2022,"BLUE","PAR",287.920541666667
1,2022,"BLUE","pH",8.19042638888886
1,2022,"BLUE","spCond",562.693044444444
1,2022,"BLWA","DO",10.0102083333333
1,2022,"BLWA","PAR",274.740416666667
1,2022,"BLWA","pH",7.41469618055556
1,2022,"COMO","DO",9.66636979166677
1,2022,"COMO","DO_sat",96.2101545138889
1,2022,"COMO","PAR",11.4125416666667
1,2022,"COMO","pH",6.83143055555552
1,2022,"COMO","spCond",35.7174027777778
1,2022,"CUPE","DO",8.42782222222223
1,2022,"CUPE","DO_sat",97.0329045138889
1,2022,"CUPE","PAR",30.8174479166667
1,2022,"CUPE","pH",8.28822222222229
1,2022,"CUPE","spCond",292.801010416667
1,2022,"FLNT","DO",10.7577083333333
1,2022,"FLNT","DO_sat",95.7420138888888
1,2022,"FLNT","PAR",272.968645833333
1,2022,"FLNT","pH",7.32913194444443
1,2022,"FLNT","spCond",92.9076388888889
1,2022,"HOPB","DO",13.6808680555555
1,2022,"HOPB","DO_sat",99.3026749999999
1,2022,"HOPB","pH",6.75341666666678
1,2022,"HOPB","spCond",100.792443055556
1,2022,"KING","DO",9.27397685185186
1,2022,"KING","DO_sat",78.2164461805556
1,2022,"KING","pH",7.54320486111108
1,2022,"KING","spCond",651.868217592592
1,2022,"LECO","DO",11.8732170138889
1,2022,"LECO","DO_sat",100.218236111111
1,2022,"LECO","PAR",55.5588333333333
1,2022,"LECO","pH",6.80609201388893
1,2022,"LECO","spCond",17.1424809027777
1,2022,"LEWI","DO",12.2706753472222
1,2022,"LEWI","DO_sat",90.9991342592592
1,2022,"LEWI","PAR",96.9967708333335
1,2022,"LEWI","pH",7.90788715277775
1,2022,"LEWI","spCond",621.047430555555
1,2022,"MART","DO",12.4896916666667
1,2022,"MART","DO_sat",98.6596319444445
1,2022,"MART","spCond",34.3724699074074
1,2022,"MAYF","PAR",34.11296875
1,2022,"MCDI","DO",10.8051550925926
1,2022,"MCDI","DO_sat",83.3913125000001
1,2022,"MCDI","PAR",92.8717708333335
1,2022,"MCDI","pH",7.74059722222228
1,2022,"MCDI","spCond",617.318500000001
1,2022,"MCRA","DO",12.4996371527778
1,2022,"MCRA","DO_sat",100.099552083333
1,2022,"MCRA","PAR",1.370625
1,2022,"MCRA","spCond",22.2708125
1,2022,"POSE","DO",12.7844444444444
1,2022,"POSE","DO_sat",92.26465625
1,2022,"POSE","PAR",58.0574583333333
1,2022,"POSE","pH",7.57700694444434
1,2022,"POSE","spCond",111.205493055555
1,2022,"PRIN","DO",12.0947291666667
1,2022,"PRIN","DO_sat",104.642805555556
1,2022,"PRIN","PAR",49.2071354166667
1,2022,"PRIN","pH",8.23934722222224
1,2022,"PRIN","spCond",803.184321180555
1,2022,"REDB","DO",11.8858375
1,2022,"REDB","DO_sat",102.491232638889
1,2022,"REDB","PAR",34.5460416666667
1,2022,"REDB","pH",8.47768402777763
1,2022,"REDB","spCond",729.276946180556
1,2022,"SYCA","DO",9.98055555555557
1,2022,"TECR","DO",10.9132743055556
1,2022,"TECR","DO_sat",97.5643437499998
1,2022,"TECR","PAR",33.4457638888889
1,2022,"TECR","pH",7.06796527777787
1,2022,"TECR","spCond",31.2925347222222
1,2022,"WALK","DO",10.7743287037037
1,2022,"WALK","DO_sat",102.049276041667
1,2022,"WALK","PAR",47.6005729166667
1,2022,"WALK","pH",7.56112499999997
1,2022,"WALK","spCond",129.6230625
1,2022,"WLOU","DO",10.3189041666667
1,2022,"WLOU","DO_sat",100.968880555556
1,2022,"WLOU","PAR",2.390625
1,2022,"WLOU","spCond",115.665141666667
2,2021,"ARIK","DO",9.22865972222226
2,2021,"ARIK","PAR",186.699305555555
2,2021,"ARIK","pH",7.98946874999997
2,2021,"ARIK","spCond",533.081071759259
2,2021,"BIGC","DO",10.8718368055556
2,2021,"BIGC","PAR",36.3589166666667
2,2021,"BIGC","spCond",165.850576388889
2,2021,"BLDE","PAR",108.629333333333
2,2021,"BLUE","PAR",108.148541666667
2,2021,"COMO","PAR",16.5672916666667
2,2021,"CUPE","DO",8.266225
2,2021,"CUPE","PAR",37.2079166666667
2,2021,"CUPE","pH",8.18534027777776
2,2021,"CUPE","spCond",299.914886574074
2,2021,"FLNT","PAR",247.653041666667
2,2021,"GUIL","pH",7.94281944444443
2,2021,"HOPB","DO",13.962295138889
2,2021,"HOPB","PAR",30.4534375
2,2021,"HOPB","pH",6.85736111111119
2,2021,"HOPB","spCond",103.75103125
2,2021,"LECO","DO",11.8432465277778
2,2021,"LECO","PAR",78.5982083333333
2,2021,"LECO","pH",6.75696527777779
2,2021,"LECO","spCond",16.3341555555555
2,2021,"LEWI","DO",11.8637638888889
2,2021,"LEWI","PAR",55.3368055555555
2,2021,"LEWI","pH",7.9362604166666
2,2021,"LEWI","spCond",601.04262962963
2,2021,"MAYF","DO",10.9666277777778
2,2021,"MAYF","PAR",10.5377083333333
2,2021,"MAYF","pH",5.76053124999999
2,2021,"MAYF","spCond",10.8361319444444
2,2021,"MCDI","DO",11.538587962963
2,2021,"MCDI","PAR",209.653333333334
2,2021,"MCDI","pH",7.86014583333332
2,2021,"MCDI","spCond",612.946166666667
2,2021,"MCRA","DO",12.3262986111112
2,2021,"MCRA","PAR",3.16979166666667
2,2021,"MCRA","spCond",22.6513194444444
2,2021,"POSE","DO",12.9383763888889
2,2021,"POSE","PAR",70.7344166666667
2,2021,"POSE","pH",7.70700347222225
